0,1,2
1.0421,1.7037,-0.4369
0.2535,0.3879,0.6024
-0.4007,-0.6496,-1.5715
-0.2831,0.4009,-0.6898
-1.08,-0.7394,0.4279
-0.39,1.4265,-0.3417
-1.9619,0.8631,1.7737
1.6588,-0.5863,1.5361
-0.5091,-0.2893,-1.2967
0.1212,0.9474,1.1709
1.527,-0.9141,-1.0697
-0.9216,-0.6571,-0.7141
-0.585,-1.2511,-0.3194
0.0324,0.6207,-0.7522
-1.1038,2.0075,1.093
-1.4944,-0.5082,0.5944
-0.8174,-1.8825,0.3478
0.0603,-1.1902,0.5893
1.1221,0.1831,0.0398
-0.4912,-0.6734,-0.7397
0.4726,0.2602,0.2057
1.7112,1.0118,0.061
0.0427,1.0608,-1.2676
-1.4037,0.3058,0.6852
0.8058,0.1414,-1.3051
1.0377,0.0882,0.8337
-0.5475,-0.9695,-0.2813
0.4517,-2.8967,-0.7196
-1.6557,1.2559,-0.8269
-1.0471,-0.4291,0.1385
-0.7917,0.5668,-0.9368
2.9698,0.1737,0.3517
0.1238,0.9469,-1.533
0.6376,-1.3592,0.3712
0.6592,-0.3006,-0.3009
0.1898,-0.6904,-2.5122
1.1768,-0.7916,0.2216
0.3064,-1.2629,0.3016
-1.2063,0.7676,-0.3789
-1.0913,-1.1722,-0.2068
-0.7576,0.5391,0.7715
1.17,0.8411,-0.2777
0.2375,-0.3511,-1.8333
0.6869,1.2364,0.0615
-0.9097,0.7365,-0.5188
-0.6006,-0.0217,-1.7613
-0.567,0.4781,0.1095
1.1446,0.1457,-0.3609
1.9822,-0.9097,1.3926
-0.4583,0.0328,-0.5723
1.4204,0.8531,-0.9478
-1.5966,-0.7788,1.6012
-1.5694,0.0304,0.0387
0.2559,-0.4127,1.8801
-1.6669,-0.7212,-0.0614
1.6939,-1.1872,-1.8844
0.0369,-0.4281,-0.4718
1.7197,-0.2231,-0.1238
1.6448,-0.7607,0.2149
1.0876,0.7174,1.7003
-0.8136,0.7391,1.0693
-1.0276,-0.2563,-0.6997
-0.5425,0.0824,-1.0394
0.398,1.2082,0.6857
0.1149,0.9245,0.8298
-0.0115,0.4621,-0.4715
0.3342,-0.1921,1.2451
0.7277,0.0947,0.5919
0.1735,-0.5305,0.759
-1.6877,-0.2153,-0.8982
-0.5006,1.6028,2.4838
0.2928,-0.3755,-0.7488
-0.7342,-1.0899,1.6339
-0.5763,-0.1774,-0.195
-0.9324,-0.5098,0.6617
0.5484,0.2911,-0.2166
1.8076,0.3617,-0.3329
0.2113,-1.1973,-0.4627
0.7683,0.6435,0.9374
-1.4618,1.5346,-0.4491
-0.616,0.4842,2.2115
-1.1412,-0.6121,-1.9364
1.741,0.3491,-0.3135
0.2853,0.8753,1.6839
-0.9087,0.356,-1.8918
-0.8848,0.3764,0.4391
-1.6057,0.318,0.202
-1.2764,-1.2132,-1.6335
0.4188,0.7424,-0.792
0.5227,0.0191,-0.2536
0.4601,0.6937,0.2545
-1.1859,-0.4696,-1.8984
0.0721,1.538,0.081
0.2914,0.2658,-0.1266
-0.9339,-1.1274,0.0824
0.805,0.4792,1.3846
1.4321,2.8957,0.0412
-0.0314,0.1199,-1.4936
-0.8145,0.7195,-0.348
-0.1276,0.8401,-0.3704
