0,1,2
0.8724,0.3857,0.1367
-0.1321,-0.2388,0.1596
1.5853,-1.1938,0.9035
-0.6173,-0.4553,-0.6408
0.1174,0.3086,-0.3774
-0.7873,0.2972,0.3334
0.4396,-0.8563,2.505
-1.3529,-0.4602,-1.1668
0.3476,2.4232,-1.3133
0.3197,-0.4341,1.8471
-0.5571,-0.6615,0.7866
1.035,-0.7374,0.2694
-1.7816,-2.1618,-0.1812
0.6131,-1.7,-0.4073
0.962,-1.4812,-1.054
0.6849,-0.2107,0.223
1.4615,-0.237,0.2873
0.3031,-1.056,0.6544
-0.364,-0.634,0.2691
-0.4877,-1.1861,-0.1797
-0.3501,-0.774,1.2877
0.2436,0.2434,-0.234
0.8526,1.9086,-0.6124
1.3314,-0.1434,0.8311
0.4835,0.1924,-0.614
0.6373,1.006,-0.6059
-1.1224,-1.2304,0.2309
0.1048,0.9941,-1.0865
-1.5117,-0.2305,1.268
-0.099,1.8741,-0.843
-0.1594,-2.6892,-0.2028
-2.3224,-0.523,0.6325
0.8254,0.0656,-1.1153
0.6776,-0.4864,-0.272
0.4942,1.5939,-1.1604
-0.9984,-0.3086,0.6826
0.4981,-1.4517,-0.2157
1.421,0.4423,-0.8583
0.2551,-0.2593,-0.5083
1.9743,-0.785,1.5575
-0.8055,0.0892,0.301
1.1218,-0.4838,1.6954
0.2963,0.0113,-0.3474
-0.6682,0.1191,1.0307
1.1544,2.8257,0.8885
2.6841,-1.74,-0.1845
0.0202,1.6532,0.2754
-0.5186,0.5781,0.7919
0.789,-0.3374,-0.4938
-0.9301,-1.4217,1.5459
0.7093,-2.2931,-0.324
-0.2498,0.5247,2.0065
0.5572,-0.0809,-0.8326
-0.3843,-1.0284,-0.7653
0.6894,-2.8779,0.8867
-0.452,-0.1798,0.3994
-1.0735,-1.3408,-0.8515
-0.2605,1.0802,0.895
0.738,-1.0179,0.9284
-2.0055,0.2449,0.0534
0.1153,-0.0686,0.8358
1.4787,-0.2071,0.135
-0.0405,-0.7695,-0.8577
0.3726,-0.006,-0.2264
0.4015,1.357,-0.7257
2.1429,1.1503,0.4021
0.3281,0.12,0.1091
1.7112,1.0197,0.5945
1.5359,-0.1524,-0.0413
-0.9682,0.5563,0.5102
0.2101,-0.4781,0.1031
1.2132,0.5478,-2.0841
-0.1274,-0.6766,0.2321
0.0057,0.5482,-0.7376
-0.2891,-0.5798,-1.3939
0.9862,-1.3544,0.4011
0.2405,-1.7547,0.7752
0.116,-1.5583,1.2577
1.37,-1.2508,-1.7995
0.4861,1.0202,-0.5371
0.0489,0.5495,-1.6928
0.1288,0.9346,-0.5381
1.0221,-0.0457,1.7577
-2.188,0.2706,0.0446
-0.9052,-0.2043,-0.3872
0.1294,-0.2954,1.4091
-1.9446,-0.3875,-0.1384
-1.7985,-0.3733,1.3842
-1.6082,-0.2864,-0.9691
