0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0.8723,0.5401,0.9979,0.6218,0.8136,0.8055,0.7331,0.5745,0.8628,0.9038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6197,0.764,0.5133,0.7724,0.5612,0.7461,0.9384,0.9275,0.655,0.5086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5186,0.5346,0.9716,0.878,0.643,0.9959,0.6684,0.7442,0.5338,0.5114,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.873,0.9952,0.9666,0.7267,0.8499,0.7719,0.6207,0.9659,0.6633,0.9171,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6507,0.8887,0.7619,0.6012,0.8455,0.5038,0.6813,0.9069,0.8082,0.7904,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5478,0.7982,0.5939,0.5803,0.9301,0.5827,0.5901,0.9726,0.5383,0.5204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6885,0.9762,0.6882,0.9526,0.8371,0.8733,0.8245,0.7046,0.993,0.9205,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8484,0.7821,0.9697,0.7655,0.8725,0.8868,0.9406,0.77,0.8457,0.7137,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6401,0.5004,0.6408,0.7345,0.6807,0.5035,0.6124,0.5052,0.8975,0.6051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6582,0.8066,0.6747,0.7797,0.6959,0.7716,0.818,0.5701,0.8824,0.9758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.5461,0.9069,0.8497,0.9099,0.6957,0.5269,0.5928,0.7945,0.8583,0.8013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.6097,0.5468,0.8662,0.8161,0.5514,0.54,0.7805,0.6581,0.9032,0.6474,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7531,0.9499,0.7194,0.9735,0.6466,0.8075,0.8871,0.6965,0.7555,0.9315,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7361,0.975,0.6755,0.8907,0.9452,0.7951,0.8796,0.7155,0.914,0.6932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.8404,0.6931,0.7409,0.7742,0.9367,0.7143,0.788,0.536,0.7166,0.7527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.7464,0.7209,0.96,0.8723,0.5613,0.5625,0.6762,0.8173,0.8792,0.91,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9212,0.5142,0.5629,0.7268,0.6692,0.755,0.5242,0.6643,0.7115,0.8329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9011,0.5466,0.6954,0.702,0.6927,0.5152,0.7127,0.8662,0.8027,0.7973,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.9416,0.6995,0.9749,0.6149,0.9302,0.7464,0.5953,0.6259,0.8861,0.6818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
